loc	weather
北京	晴
朝阳	晴
顺义	晴
怀柔	晴
通州	晴
昌平	晴
延庆	晴
丰台	晴
石景山	晴
大兴	晴
房山	晴
密云	晴
门头沟	晴
平谷	晴
上海	小雨
闵行	小雨
宝山	小雨
嘉定	小雨
浦东新区	小雨
金山	小雨
青浦	小雨
松江	小雨
奉贤	小雨
崇明	小雨
徐汇	小雨
天津	多云
武清	多云
宝坻	多云
东丽	多云
西青	多云
北辰	多云
宁河	多云
静海	多云
津南	多云
滨海新区	多云
蓟县	多云
重庆	小雨
永川	小雨
合川	小雨
南川	中雨
江津	中雨
万盛	中雨
渝北	小雨
北碚	小雨
巴南	小雨
长寿	小雨
黔江	中雨
万州	中雨
涪陵	大雨
开县	中雨
城口	中雨
云阳	中雨
巫溪	中雨
奉节	中雨
巫山	中雨
潼南	中雨
垫江	中雨
梁平	中雨
忠县	大雨
石柱	大雨
大足	小雨
荣昌	小雨
铜梁	小雨
璧山	小雨
丰都	中雨
武隆	中雨
彭水	大雨
綦江	中雨
酉阳	中雨
秀山	中雨
香港	多云
九龙	多云
新界	多云
澳门	多云
氹仔岛	多云
路环岛	多云
台北	小雨
桃园	小雨
新竹	小雨
宜兰	小雨
高雄	小雨
嘉义	小雨
台南	小雨
台东	小雨
屏东	小雨
台中	多云
苗栗	多云
彰化	多云
南投	多云
花莲	多云
云林	多云
哈尔滨	阵雪
双城	阵雪
呼兰	阵雪
阿城	阵雪
宾县	小雪
依兰	中雪
巴彦	阵雪
通河	中雪
方正	中雪
延寿	中雪
尚志	中雪
五常	小雪
木兰	阵雪
齐齐哈尔	多云
讷河	多云
龙江	多云
甘南	多云
富裕	多云
依安	多云
拜泉	多云
克山	多云
克东	多云
泰来	多云
牡丹江	大雪
海林	大雪
穆棱	大雪
林口	大雪
绥芬河	大雪
宁安	大雪
东宁	大雪
佳木斯	小雪
汤原	小雪
抚远	多云
桦川	小雪
桦南	中雪
同江	小雪
富锦	小雪
绥化	阵雪
肇东	阵雪
安达	阵雪
海伦	阵雪
明水	阵雪
望奎	阵雪
兰西	阵雪
青冈	阵雪
庆安	阵雪
绥棱	阵雪
黑河	多云
嫩江	多云
孙吴	多云
逊克	多云
五大连池	多云
北安	多云
大兴安岭	小雪
塔河	多云
漠河	多云
呼玛	多云
呼中	多云
新林	小雪
加格达奇	小雪
伊春	阴
乌伊岭	阴
五营	阴
铁力	阵雪
嘉荫	阴
大庆	多云
林甸	多云
肇州	阵雪
肇源	阵雪
杜尔伯特	多云
七台河	中雪
勃利	中雪
鸡西	中雨
虎林	中雨
密山	中雨
鸡东	中雨
鹤岗	阵雪
绥滨	阵雪
萝北	阵雪
双鸭山	中雪
集贤	中雪
宝清	中雪
饶河	小雪
友谊	中雪
长春	小雪
农安	多云
德惠	多云
九台	多云
榆树	多云
双阳	小雪
吉林	中雪
舒兰	中雪
永吉	中雪
蛟河	中雪
磐石	中雪
桦甸	中雪
延吉	暴雪
敦化	大雪
安图	大雪
汪清	暴雪
和龙	暴雪
龙井	暴雪
珲春	暴雪
图们	暴雪
四平	小雪
双辽	多云
梨树	小雪
公主岭	小雪
伊通	小雪
通化	雨夹雪
梅河口	大雪
柳河	大雪
辉南	大雪
集安	小雨
通化县	雨夹雪
白城	多云
洮南	多云
大安	多云
镇赉	多云
通榆	多云
辽源	中雪
东丰	大雪
东辽	中雪
松原	多云
乾安	多云
前郭	多云
长岭	多云
扶余	多云
白山	暴雪
靖宇	暴雪
临江	暴雪
东岗	暴雪
长白	大雪
抚松	暴雪
江源	暴雪
沈阳	中雪
辽中	中雪
康平	小雪
法库	中雪
新民	中雪
大连	雨夹雪
瓦房店	雨夹雪
金州	雨夹雪
普兰店	雨夹雪
旅顺	雨夹雪
长海	雨夹雪
庄河	雨夹雪
鞍山	小雪
台安	小雪
岫岩	雨夹雪
海城	小雪
抚顺	大雪
新宾	大雪
清原	大雪
章党	大雪
本溪	小雪
本溪县	小雪
桓仁	中雪
丹东	小雨
凤城	雨夹雪
宽甸	雨夹雪
东港	小雨
锦州	多云
凌海	多云
义县	多云
黑山	多云
北镇	多云
营口	小雪
大石桥	小雪
盖州	小雪
阜新	多云
彰武	多云
辽阳	中雪
辽阳县	中雪
灯塔	中雪
弓长岭	中雪
铁岭	小雪
开原	小雪
昌图	小雪
西丰	小雪
调兵山	小雪
朝阳	晴
凌源	晴
喀左	晴
北票	晴
建平县	晴
盘锦	小雪
大洼	小雪
盘山	小雪
葫芦岛	小雪
建昌	小雪
绥中	小雪
兴城	小雪
呼和浩特	晴
土左旗	晴
托县	晴
和林	晴
清水河	晴
赛罕	晴
武川	晴
包头	晴
白云鄂博	晴
满都拉	晴
土右旗	晴
固阳	晴
达茂旗	晴
希拉穆仁	晴
乌海	晴
集宁	多云
卓资	多云
化德	多云
商都	多云
兴和	多云
凉城	多云
察右前旗	多云
察右中旗	多云
察右后旗	多云
四子王旗	多云
丰镇	多云
通辽	多云
舍伯吐	多云
科左中旗	多云
