loc,city
北京1,晴1
北京2,晴2
北京3,晴3
北京4,晴4
北京5,晴5
北京6,晴6
北京7,晴7
北京8,晴8
北京9,晴9
北京10,晴10
北京11,晴11
北京12,晴12
北京13,晴13
北京14,晴14
北京15,晴15
北京16,晴16
北京17,晴17
北京18,晴18
北京19,晴19
北京20,晴20
北京21,晴21
北京22,晴22
北京23,晴23
北京24,晴24
北京25,晴25
北京26,晴26
北京27,晴27
北京28,晴28
北京29,晴29
北京30,晴30
北京31,晴31
北京32,晴32
北京33,晴33
北京34,晴34
北京35,晴35
北京36,晴36
北京37,晴37
北京38,晴38
北京39,晴39
北京40,晴40
北京41,晴41
北京42,晴42
北京43,晴43
北京44,晴44
北京45,晴45
北京46,晴46
北京47,晴47
北京48,晴48
北京49,晴49
北京50,晴50
北京51,晴51
北京52,晴52
北京53,晴53
北京54,晴54
北京55,晴55
北京56,晴56
北京57,晴57
北京58,晴58
北京59,晴59
北京60,晴60
北京61,晴61
北京62,晴62
北京63,晴63
北京64,晴64
北京65,晴65
北京66,晴66
北京67,晴67
北京68,晴68
北京69,晴69
北京70,晴70
北京71,晴71
北京72,晴72
北京73,晴73
北京74,晴74
北京75,晴75
北京76,晴76
北京77,晴77
北京78,晴78
北京79,晴79
北京80,晴80
北京81,晴81
北京82,晴82
北京83,晴83
北京84,晴84
北京85,晴85
北京86,晴86
北京87,晴87
北京88,晴88
北京89,晴89
北京90,晴90
北京91,晴91
北京92,晴92
北京93,晴93
北京94,晴94
北京95,晴95
北京96,晴96
北京97,晴97
北京98,晴98
北京99,晴99
北京100,晴100
北京101,晴101
北京102,晴102
北京103,晴103
北京104,晴104
北京105,晴105
北京106,晴106
北京107,晴107
北京108,晴108
北京109,晴109
北京110,晴110
北京111,晴111
北京112,晴112
北京113,晴113
北京114,晴114
北京115,晴115
北京116,晴116
北京117,晴117
北京118,晴118
北京119,晴119
北京120,晴120
北京121,晴121
北京122,晴122
北京123,晴123
北京124,晴124
北京125,晴125
北京126,晴126
北京127,晴127
北京128,晴128
北京129,晴129
北京130,晴130
北京131,晴131
北京132,晴132
北京133,晴133
北京134,晴134
北京135,晴135
北京136,晴136
北京137,晴137
北京138,晴138
北京139,晴139
北京140,晴140
北京141,晴141
北京142,晴142
北京143,晴143
北京144,晴144
北京145,晴145
北京146,晴146
北京147,晴147
北京148,晴148
北京149,晴149
北京150,晴150
北京151,晴151
北京152,晴152
北京153,晴153
北京154,晴154
北京155,晴155
北京156,晴156
北京157,晴157
北京158,晴158
北京159,晴159
北京160,晴160
北京161,晴161
北京162,晴162
北京163,晴163
北京164,晴164
北京165,晴165
北京166,晴166
北京167,晴167
北京168,晴168
北京169,晴169
北京170,晴170
北京171,晴171
北京172,晴172
北京173,晴173
北京174,晴174
北京175,晴175
北京176,晴176
北京177,晴177
北京178,晴178
北京179,晴179
北京180,晴180
北京181,晴181
北京182,晴182
北京183,晴183
北京184,晴184
北京185,晴185
北京186,晴186
北京187,晴187
北京188,晴188
北京189,晴189
北京190,晴190
北京191,晴191
北京192,晴192
北京193,晴193
北京194,晴194
北京195,晴195
北京196,晴196
北京197,晴197
北京198,晴198
北京199,晴199
北京200,晴200
北京201,晴201
北京202,晴202
北京203,晴203
北京204,晴204
北京205,晴205
北京206,晴206
北京207,晴207
北京208,晴208
北京209,晴209
北京210,晴210
北京211,晴211
北京212,晴212
北京213,晴213
北京214,晴214
北京215,晴215
北京216,晴216
北京217,晴217
北京218,晴218
北京219,晴219
北京220,晴220
北京221,晴221
北京222,晴222
北京223,晴223
北京224,晴224
北京225,晴225
北京226,晴226
北京227,晴227
北京228,晴228
北京229,晴229
北京230,晴230
北京231,晴231
北京232,晴232
北京233,晴233
北京234,晴234
北京235,晴235
北京236,晴236
北京237,晴237
北京238,晴238
北京239,晴239
北京240,晴240
北京241,晴241
北京242,晴242
北京243,晴243
北京244,晴244
北京245,晴245
北京246,晴246
北京247,晴247
北京248,晴248
北京249,晴249
北京250,晴250
北京251,晴251
北京252,晴252
北京253,晴253
北京254,晴254
北京255,晴255
北京256,晴256
北京257,晴257
北京258,晴258
北京259,晴259
北京260,晴260
北京261,晴261
北京262,晴262
北京263,晴263
北京264,晴264
北京265,晴265
北京266,晴266
北京267,晴267
北京268,晴268
北京269,晴269
北京270,晴270
北京271,晴271
北京272,晴272
北京273,晴273
北京274,晴274
北京275,晴275
北京276,晴276
北京277,晴277
北京278,晴278
北京279,晴279
北京280,晴280
北京281,晴281
北京282,晴282
北京283,晴283
北京284,晴284
北京285,晴285
北京286,晴286
北京287,晴287
北京288,晴288
北京289,晴289
北京290,晴290
北京291,晴291
北京292,晴292
北京293,晴293
北京294,晴294
北京295,晴295
北京296,晴296
